type ,check_item ,quality_factor ,method ,target_unit ,target_filter,style
'logic' ,'C01' ,'完全性・過剰' ,'データ製品に含まれる全てのインスタンスについて、gml:idの値が同じインスタンスの数をエラーとして数えます。','ck_logic2_file',NULL,NULL
'logic' ,'C02' ,'完全性・過剰/漏れ' ,'都市モデルに含まれるインスタンス数を地物型ごとに数えます。','ck_logic2_dataset',NULL,NULL
'logic' ,'L04' ,'論理一貫性・定義域一貫性' ,'地物属性の値とコードリストのコード値との比較を行い、地物属性の値が、コード値と合致しない箇所を数えます。','ck_logic2_file',NULL,NULL
'logic' ,'L05' ,'論理一貫性・定義域一貫性' ,'srsNameにより指定された空間座標参照系のURIが、製品仕様書に示された二つのURIのいずれとも合致しない箇所を数えます。','ck_logic2_file',NULL,NULL
'logic' ,'L06' ,'論理一貫性・定義域一貫性' ,'boundedByにより指定された、緯度、経度及び標高の下限値及び上限値を超える座標値を有する幾何オブジェクトをエラーとします。','ck_logic2_file',NULL,NULL
'logic' ,'T03' ,'主題正確度・分類の正しさ' ,'検索されたインスタンスの型が、応用スキーマで定義された関連相手先となる地物型または幾何オブジェクト型と合致しないインスタンスを数えます。','ck_logic2_file',NULL,NULL
'logic' ,'T-bldg-02' ,'主題正確度・分類の正しさ' ,'建築物付属物のインスタンスのうち、bldg:lod2Geometry又はbldg:lod3Geometryにより保持または参照する幾何オブジェクトの型が、gml:MultiSurfaceまたはgml:Solid、あるいはgml:CompositeSolidと合致しないインスタンスを数えます。','ck_logic2_file','建築物付属物',NULL
'logic' ,'C-bldg-01' ,'完全性・過剰' ,'同一の属性uro:buildingIDの値をもつインスタンス群について、属性uro:branchID又はuro:partIDをもたないインスタンスが複数存在した場合に、エラーとしてその数を数えます。' ,'ck_logic2_file' , NULL, NULL
'logic' ,'L-bldg-04' ,'論理一貫性・概念一貫性' ,'全ての bldg:Building インスタンスについて、属性uro:majorUsage2をもつインスタンスを抽出し、属性uro:majorUsageをもたない場合にエラーとし、その数を数えます。' ,'ck_logic2_file' ,NULL,NULL
'logic' ,'L-bldg-05' ,'論理一貫性・概念一貫性' ,'全ての建築物インスタンスについて、属性uro:detailedUsage2またはuro:detailedUsage3をもつインスタンスを抽出し、属性uro:detailedUsage2をもつインスタンスは属性uro:detailedUsageを、属性uro:detailedUsage3をもつインスタンスは属性uro:detailedUsage2を、それぞれもたない場合にエラーとし、その数を数えます。' ,'ck_logic2_file' ,NULL,NULL
'visually' ,'C03' ,'完全性・過剰/漏れ' ,'参照データに存在しないのに地物インスタンスが存在する場合、あるいは参照データに存在するのに地物インスタンスが存在しない場合を目視確認します。',NULL,1,'対象外'
'visually' ,'T01' ,'主題正確度・非定量的主題属性の正しさ' ,'インスタンスに設定された地物属性のうち、型がxs:string、gml:CodeType、xs:boolean、xs:date、xs:gYear、gml::MeasureOrNullListTypeまたは、gml:StringOrRefTypeとなる主題属性が識別できるようにインスタンスを表示し、参照データに含まれるデータと比較します。',NULL,'LCASE(attrib_type)="varchar" and tag_name != "gml:id"','属性値によるスタイルを設定（種類が多い場合は対象外）'
'visually' ,'T02' ,'主題正確度・定量的主題属性の正しさ' ,'インスタンスに設定された地物属性のうち、型がxsinteger、xs:nonNegativeInteger、xs:double、gml::MeasureType、gml:LengthTypeまたはgml::MeasureOrNullListTypeとなる主題属性が識別できるようにインスタンスを表示し、参照データに含まれるデータと比較します。',NULL,'LCASE(attrib_type) in ("int","double")','属性の範囲によるスタイルを設定'
